t_s,err1,err2
0.0,0,0
0.05,0,0
0.1,0,0
0.15,0,0
0.2,0,0
0.25,0,0
0.3,0,0
0.35,0,0
0.4,0,0
0.45,0,0
0.5,0,0
0.55,0.1330872020415499,-0.4499088884596237
0.6,0.09590540126841371,-0.21919947838105142
0.65,0.03887386212113237,0.08438927191910642
0.7,-0.03655303718500112,0.34839459515438087
0.75,-0.11536236827642116,0.44374493952936345
0.8,-0.16540918212173014,0.3376117017301278
0.85,-0.15949613521932168,0.11033350247780285
0.9,-0.09886270468153167,-0.14454662642646418
0.95,-0.00746954541262251,-0.3481067414264338
1.0,0.09265929994939967,-0.4129978921837384
1.05,0.1817850714563772,-0.30361036831327803
1.1,0.22222886768798406,-0.06784208943327404
1.15,0.17591100844841148,0.189626234310139
1.2,0.048986538025835545,0.350582865184871
1.25,-0.1013225757840869,0.3519015201050041
1.3,-0.21321695639193322,0.21798179480986066
1.35,-0.2492762213941029,0.014366254042782446
1.4,-0.19685443873784503,-0.18645027448072293
1.45,-0.07514320315411384,-0.30323136944306284
1.5,0.08077685970073045,-0.2837405783587361
1.55,0.22290569610378616,-0.14668980554842492
1.6,0.28185628498038,0.03705074467965756
1.65,0.2153219574775965,0.1849803752432815
1.7,0.058439645314168245,0.2403896686129768
1.75,-0.10582667046524173,0.19397415985329608
1.8,-0.22412738781683686,0.07184184090933639
1.85,-0.2602765410863281,-0.07117350488051452
1.9,-0.19421688007196428,-0.163742170494414
1.95,-0.05218110114727364,-0.16492296058467273
2.0,0.11241435860039281,-0.09260721060350713
2.05,0.23415499607069262,0.008081038875759115
2.1,0.2478570435358302,0.09520875160474337
2.15,0.1408918920464516,0.1320008803442148
2.2,-0.015526112622253771,0.0983716680103713
2.25,-0.13915204627819883,0.006983487250569366
2.3,-0.2002618701978581,-0.09304939171177273
2.35,-0.18180809021372216,-0.14037835023803277
2.4,-0.08341729403251764,-0.1040088877655894
2.45,0.0575038093837125,-0.008964753888564828
2.5,0.1700785989235264,0.08990937304268985
2.55,0.19106152599030524,0.14884135801836923
2.6,0.11023125229375084,0.14866801130585058
2.65,-0.020006280500003394,0.07996094099126592
2.7,-0.12578602323235927,-0.04529194153727184
2.75,-0.16475854082138822,-0.16639533159047384
2.8,-0.12940942951505216,-0.21786571559926896
2.85,-0.031647002032613794,-0.17235144979919523
2.9,0.09486344600374673,-0.04310487196206248
2.95,0.18387118268769512,0.11234360178242075
3.0,0.17667386761189394,0.21537503429075436
3.05,0.07533497590935426,0.22854632853394466
3.1,-0.06598817666358256,0.1669665089642722
3.15,-0.18278162627896405,0.03846774284707878
3.2,-0.2211116204308168,-0.1246412443883947
3.25,-0.15795178481027922,-0.24277631598365074
3.3,-0.015886933040413772,-0.2559851429054387
3.35,0.14768101960156568,-0.16275282479506312
3.4,0.2559474669362609,-0.00889343017112117
3.45,0.2513907512375894,0.13347644575477524
3.5,0.1337157880241297,0.20812736687489414
3.55,-0.05059952870916059,0.2133934867591183
3.6,-0.2318579842709189,0.16139851015635728
3.65,-0.32578105727913526,0.04750068478433859
3.7,-0.27504462806339325,-0.08903843230490446
3.75,-0.09602752148093903,-0.17897895021758475
3.8,0.13291456967955562,-0.18851766966629396
3.85,0.310056954515326,-0.13746549658212548
3.9,0.35649128693598264,-0.06148144862190182
3.95,0.26190851090719836,0.02021808052260461
4.0,0.06289304312965864,0.09744294673542866
4.05,-0.18482420566843863,0.14891809946528722
4.1,-0.3764042410416094,0.15059197325791332
4.15,-0.40289536838052326,0.10469383402811806
4.2,-0.24898959155842226,0.036190462374464286
4.25,0.007790224438759489,-0.03336284886790781
4.3,0.26072289477808763,-0.09400218362683342
4.35,0.40400070596353405,-0.13496486655135323
4.4,0.3839332139971587,-0.13996765565140612
4.45,0.22535047351432486,-0.10357641074613182
4.5,-0.028177377963858892,-0.037804210419998534
4.55,-0.2969176098837858,0.04084281371755848
4.6,-0.4436253396914538,0.11594412109843424
4.65,-0.3867656626281099,0.16367207037365322
4.7,-0.17399678844437688,0.15938766455904782
4.75,0.08939718374927454,0.09944165378452689
4.8,0.30910503547862433,0.006150608339472406
4.85,0.40634258519344807,-0.09304450384232
4.9,0.35142312573435164,-0.1749878444287337
