t_s,err1,err2
0.0,0,0
0.05,0,0
0.1,0,0
0.15,0,0
0.2,0,0
0.25,0,0
0.3,0,0
0.35,0,0
0.4,0,0
0.45,0,0
0.5,0,0
0.55,0.1330872020415499,-0.4499088884596237
0.6,0.09590540126841371,-0.21919947838105142
0.65,0.03887386212113237,0.08438927191910642
0.7,-0.03655303718500112,0.34839459515438087
0.75,-0.11536236827642116,0.44374493952936345
0.8,-0.16540918212173014,0.3376117017301278
0.85,-0.15949613521932168,0.11033350247780285
0.9,-0.09886270468153167,-0.14454662642646418
0.95,-0.00746954541262251,-0.3481067414264338
1.0,0.09265929994939967,-0.4129978921837384
1.05,0.17538970506081936,-0.2972064429834232
1.1,0.20868756321830845,-0.05423388849152889
1.15,0.15870821905800217,0.19394876058004767
1.2,0.0459233011592234,0.3385942526851836
1.25,-0.08384711243355139,0.326353263672585
1.3,-0.17797245592297206,0.18679022514010588
1.35,-0.20781261221739777,-0.013374728443550364
1.4,-0.16441341166507273,-0.18804286931782394
1.45,-0.06812484970234407,-0.27079652858820746
1.5,0.05044180467826929,-0.22684055207433043
1.55,0.15957678349262802,-0.08518268037779099
1.6,0.20855461699750127,0.08206704119816167
1.65,0.16167055604894812,0.1863735080953386
1.7,0.04150742460559012,0.19509281641542606
1.75,-0.07197328744362912,0.11666400204293632
1.8,-0.14283495738176263,-0.014449798525025976
1.85,-0.15951941609880846,-0.1334313980237583
1.9,-0.11466085328086244,-0.17256900749935367
1.95,-0.020741759498453385,-0.11486865693371937
2.0,0.07415648841106913,-0.00017080121242424006
2.05,0.13390602435751112,0.11228577743125709
2.1,0.12520431980104077,0.16374585244453257
2.15,0.048552987688102504,0.13962049394337325
2.2,-0.04727745679779123,0.04437707367330686
2.25,-0.09597457323428173,-0.09028454574173626
2.3,-0.09222790139232484,-0.19474046555236027
2.35,-0.047738270850098914,-0.20507352237467713
2.4,0.022794980953147304,-0.11239929367281627
2.45,0.08706909477243527,0.038122764764339595
2.5,0.10634866182130696,0.17053322812525318
2.55,0.06375163456428053,0.22720238586435773
2.6,-0.023255830658288214,0.19646183912592438
2.65,-0.106838329349165,0.08826921617501582
2.7,-0.12941128408352284,-0.0713775532552025
2.75,-0.08629307656996463,-0.20594793246664123
2.8,0.0006338016941348313,-0.254887137588493
2.85,0.09756080344177818,-0.19557982576039615
2.9,0.15923705697611662,-0.05413691614399233
2.95,0.14924332523466052,0.09568818039568468
3.0,0.06715536119869409,0.196904540468347
3.05,-0.05509262785457518,0.21991427148529763
3.1,-0.16073608199953163,0.17021684908161513
3.15,-0.1995184455610496,0.061577315385403564
3.2,-0.15288125561773025,-0.06496469344216638
3.25,-0.03560818926482364,-0.16475956607121908
3.3,0.10045295434295658,-0.1941964279912283
3.35,0.19402216072031878,-0.14503231257472948
3.4,0.2065286313210905,-0.04803160993599624
3.45,0.13478201485257071,0.04057821046317934
3.5,0.007771977221383596,0.10192212583032766
3.55,-0.11908281653001207,0.13050784098051058
3.6,-0.20494458030790863,0.12020100885863025
3.65,-0.2104054996851791,0.06840789300371539
3.7,-0.12470326772087847,0.0052427979570747575
3.75,0.019177958269896177,-0.0491110540558817
3.8,0.14552786318360392,-0.07923478267679536
3.85,0.2059309465406688,-0.08345478642059179
3.9,0.18371757237106626,-0.0662126152641621
3.95,0.09579378605735654,-0.043168354851764026
4.0,-0.02298987119744584,-0.010654642966651091
4.05,-0.13414747295791632,0.024133856135473475
4.1,-0.1957009331516865,0.05064309996991952
4.15,-0.1746370725951101,0.0617973726293994
4.2,-0.078235113657989,0.05983479588364819
4.25,0.041094880197635124,0.04492007525405877
4.3,0.12871854975901026,0.016114796707193336
4.35,0.16115486060593925,-0.015210255417010812
4.4,0.13663337640054937,-0.038222474140033644
4.45,0.063971571404513,-0.04977904726796724
4.5,-0.030060761700358516,-0.053743404581687804
4.55,-0.10620037804667475,-0.04064843117203573
4.6,-0.13355133020519852,-0.01615425010283649
4.65,-0.10307428076581335,0.011513832221664156
4.7,-0.034781643960102804,0.028155788709412325
4.75,0.026902771924618322,0.029735249173778375
4.8,0.06804657036843978,0.029793660805912094
4.85,0.08109117839875472,0.02676639314473943
